label,condition,model,AUC,AUC_lo,AUC_hi,BalAcc,BalAcc_lo,BalAcc_hi,F1macro,F1macro_lo,F1macro_hi,SensW,SensW_lo,SensW_hi,PPVW,PPVW_lo,PPVW_hi
sev_crossing,prior_cesd only,ElasticNet,0.76,0.726,0.792,0.68,0.607,0.753,0.565,0.503,0.626,0.595,0.421,0.75,0.286,0.183,0.395
sev_crossing,prior_cesd only,XGBoost,0.872,0.84,0.903,0.764,0.709,0.822,0.582,0.527,0.633,0.73,0.575,0.875,0.229,0.157,0.302
sev_crossing,prior_cesd only,LightGBM,0.873,0.842,0.903,0.753,0.698,0.813,0.569,0.513,0.621,0.73,0.575,0.875,0.229,0.157,0.302
sev_crossing,prior_cesd only,SVM,0.874,0.844,0.903,0.661,0.588,0.734,0.52,0.463,0.571,0.649,0.488,0.809,0.194,0.126,0.269
sev_crossing,base (21),ElasticNet,0.751,0.711,0.791,0.591,0.518,0.667,0.509,0.45,0.568,0.378,0.225,0.538,0.197,0.106,0.294
sev_crossing,base (21),XGBoost,0.876,0.846,0.905,0.718,0.655,0.781,0.532,0.476,0.586,0.649,0.488,0.809,0.211,0.135,0.289
sev_crossing,base (21),LightGBM,0.869,0.838,0.899,0.737,0.669,0.798,0.586,0.529,0.64,0.676,0.512,0.828,0.253,0.167,0.342
sev_crossing,base (21),SVM,0.783,0.743,0.824,0.593,0.52,0.66,0.477,0.417,0.529,0.432,0.273,0.6,0.151,0.085,0.221
sev_crossing,base + behavioral lag (38),ElasticNet,0.75,0.708,0.791,0.593,0.52,0.671,0.506,0.45,0.566,0.378,0.222,0.552,0.189,0.104,0.28
sev_crossing,base + behavioral lag (38),XGBoost,0.875,0.844,0.904,0.735,0.668,0.796,0.565,0.506,0.619,0.622,0.461,0.781,0.232,0.149,0.322
sev_crossing,base + behavioral lag (38),LightGBM,0.867,0.835,0.897,0.738,0.68,0.794,0.53,0.475,0.583,0.676,0.513,0.829,0.207,0.135,0.278
sev_crossing,base + behavioral lag (38),SVM,0.779,0.739,0.821,0.599,0.528,0.674,0.483,0.43,0.538,0.459,0.302,0.632,0.173,0.102,0.257
sev_crossing,base + behavioral lag + pmcesd (39),ElasticNet,0.829,0.792,0.867,0.691,0.624,0.762,0.547,0.49,0.608,0.73,0.588,0.872,0.248,0.168,0.333
sev_crossing,base + behavioral lag + pmcesd (39),XGBoost,0.906,0.881,0.929,0.834,0.784,0.882,0.686,0.628,0.739,0.838,0.707,0.947,0.356,0.253,0.464
sev_crossing,base + behavioral lag + pmcesd (39),LightGBM,0.901,0.876,0.925,0.842,0.798,0.89,0.679,0.62,0.73,0.865,0.744,0.97,0.344,0.247,0.439
sev_crossing,base + behavioral lag + pmcesd (39),SVM,0.841,0.806,0.876,0.696,0.628,0.766,0.565,0.508,0.621,0.649,0.488,0.806,0.304,0.203,0.405
personal_sd,prior_cesd only,ElasticNet,0.695,0.662,0.727,0.552,0.491,0.614,0.476,0.423,0.528,0.22,0.095,0.354,0.158,0.068,0.262
personal_sd,prior_cesd only,XGBoost,0.646,0.607,0.69,0.48,0.411,0.549,0.408,0.359,0.458,0.268,0.13,0.424,0.081,0.037,0.133
personal_sd,prior_cesd only,LightGBM,0.637,0.594,0.682,0.444,0.385,0.505,0.345,0.297,0.39,0.122,0.027,0.241,0.061,0.012,0.118
personal_sd,prior_cesd only,SVM,0.695,0.662,0.727,0.522,0.482,0.562,0.436,0.397,0.471,0.0,0.0,0.0,0.0,,
personal_sd,base (21),ElasticNet,0.71,0.675,0.746,0.561,0.5,0.632,0.434,0.385,0.484,0.488,0.341,0.652,0.14,0.085,0.192
personal_sd,base (21),XGBoost,0.693,0.65,0.74,0.535,0.475,0.599,0.435,0.382,0.487,0.244,0.111,0.381,0.122,0.054,0.198
personal_sd,base (21),LightGBM,0.664,0.618,0.708,0.456,0.391,0.515,0.383,0.335,0.429,0.195,0.077,0.32,0.078,0.029,0.129
personal_sd,base (21),SVM,0.716,0.672,0.759,0.545,0.481,0.615,0.432,0.383,0.482,0.488,0.333,0.641,0.148,0.092,0.207
personal_sd,base + behavioral lag (38),ElasticNet,0.708,0.671,0.747,0.528,0.462,0.598,0.416,0.367,0.466,0.415,0.262,0.571,0.12,0.069,0.172
personal_sd,base + behavioral lag (38),XGBoost,0.69,0.643,0.736,0.493,0.427,0.559,0.412,0.36,0.463,0.244,0.114,0.394,0.115,0.049,0.182
personal_sd,base + behavioral lag (38),LightGBM,0.684,0.637,0.729,0.53,0.465,0.593,0.425,0.372,0.477,0.268,0.132,0.422,0.113,0.052,0.178
personal_sd,base + behavioral lag (38),SVM,0.681,0.634,0.724,0.513,0.439,0.581,0.391,0.338,0.439,0.463,0.302,0.625,0.131,0.076,0.183
personal_sd,base + behavioral lag + pmcesd (39),ElasticNet,0.759,0.711,0.808,0.624,0.557,0.689,0.481,0.426,0.529,0.585,0.429,0.757,0.175,0.113,0.238
personal_sd,base + behavioral lag + pmcesd (39),XGBoost,0.75,0.707,0.793,0.62,0.551,0.682,0.457,0.403,0.506,0.634,0.485,0.788,0.166,0.105,0.224
personal_sd,base + behavioral lag + pmcesd (39),LightGBM,0.731,0.689,0.78,0.586,0.524,0.652,0.455,0.405,0.503,0.463,0.31,0.629,0.145,0.087,0.206
personal_sd,base + behavioral lag + pmcesd (39),SVM,0.751,0.702,0.796,0.62,0.55,0.686,0.475,0.42,0.526,0.61,0.454,0.771,0.191,0.126,0.257
balanced_tercile,prior_cesd only,ElasticNet,0.665,0.627,0.702,0.474,0.43,0.518,0.456,0.41,0.502,0.226,0.159,0.302,0.388,0.282,0.5
balanced_tercile,prior_cesd only,XGBoost,0.647,0.611,0.684,0.482,0.442,0.518,0.415,0.375,0.454,0.051,0.017,0.09,0.259,0.103,0.455
balanced_tercile,prior_cesd only,LightGBM,0.642,0.605,0.679,0.472,0.431,0.51,0.425,0.383,0.464,0.095,0.049,0.142,0.283,0.156,0.425
balanced_tercile,prior_cesd only,SVM,0.658,0.618,0.694,0.499,0.458,0.54,0.464,0.42,0.507,0.161,0.101,0.221,0.423,0.28,0.556
balanced_tercile,base (21),ElasticNet,0.657,0.619,0.695,0.455,0.412,0.5,0.442,0.396,0.487,0.234,0.161,0.306,0.33,0.239,0.42
balanced_tercile,base (21),XGBoost,0.655,0.615,0.694,0.462,0.417,0.509,0.452,0.406,0.498,0.255,0.186,0.329,0.361,0.269,0.458
balanced_tercile,base (21),LightGBM,0.658,0.62,0.699,0.47,0.422,0.518,0.464,0.416,0.511,0.314,0.233,0.397,0.384,0.296,0.474
balanced_tercile,base (21),SVM,0.651,0.615,0.688,0.455,0.411,0.5,0.444,0.397,0.49,0.263,0.191,0.339,0.336,0.248,0.422
balanced_tercile,base + behavioral lag (38),ElasticNet,0.642,0.603,0.681,0.465,0.417,0.511,0.455,0.409,0.5,0.255,0.188,0.333,0.337,0.25,0.422
balanced_tercile,base + behavioral lag (38),XGBoost,0.659,0.617,0.702,0.489,0.443,0.535,0.48,0.43,0.527,0.299,0.222,0.373,0.414,0.323,0.511
balanced_tercile,base + behavioral lag (38),LightGBM,0.64,0.599,0.68,0.472,0.425,0.519,0.463,0.417,0.51,0.285,0.212,0.362,0.371,0.283,0.462
balanced_tercile,base + behavioral lag (38),SVM,0.64,0.6,0.679,0.472,0.426,0.519,0.468,0.42,0.513,0.328,0.248,0.405,0.385,0.294,0.472
balanced_tercile,base + behavioral lag + pmcesd (39),ElasticNet,0.718,0.677,0.756,0.53,0.482,0.578,0.531,0.481,0.577,0.496,0.409,0.576,0.476,0.397,0.556
balanced_tercile,base + behavioral lag + pmcesd (39),XGBoost,0.723,0.682,0.764,0.555,0.51,0.602,0.556,0.51,0.601,0.562,0.479,0.645,0.49,0.416,0.566
balanced_tercile,base + behavioral lag + pmcesd (39),LightGBM,0.732,0.69,0.773,0.557,0.511,0.608,0.559,0.512,0.606,0.555,0.471,0.642,0.481,0.405,0.558
balanced_tercile,base + behavioral lag + pmcesd (39),SVM,0.721,0.682,0.76,0.557,0.511,0.605,0.556,0.508,0.602,0.496,0.411,0.577,0.519,0.432,0.606
