model,repeat,fold,n_held_pids,n_obs,n_train,n_val,AUC,BalAcc,F1macro,SensW,PPVW
ElasticNet,0,0,20,89,936,310,0.562,0.439,0.322,0.2,0.044
ElasticNet,0,1,19,81,967,320,0.569,0.48,0.278,0.333,0.044
ElasticNet,0,2,19,75,974,322,0.54,0.321,0.218,0.0,0.0
ElasticNet,0,3,19,84,953,314,0.607,0.395,0.33,0.154,0.059
ElasticNet,0,4,19,82,954,314,0.577,0.38,0.287,0.0,0.0
ElasticNet,1,0,20,86,942,310,0.538,0.376,0.22,0.167,0.019
ElasticNet,1,1,19,84,954,316,0.493,0.49,0.249,0.4,0.034
ElasticNet,1,2,19,82,963,318,0.545,0.402,0.329,0.333,0.035
ElasticNet,1,3,19,79,968,320,0.601,0.402,0.336,0.182,0.059
ElasticNet,1,4,19,80,957,316,0.67,0.458,0.336,0.111,0.043
ElasticNet,2,0,20,85,943,308,0.519,0.361,0.248,0.25,0.016
ElasticNet,2,1,19,83,955,319,0.633,0.463,0.332,0.167,0.032
ElasticNet,2,2,19,81,963,319,0.592,0.444,0.339,0.1,0.028
ElasticNet,2,3,19,79,964,319,0.52,0.376,0.317,0.375,0.064
ElasticNet,2,4,19,83,959,315,0.587,0.395,0.255,0.111,0.027
ElasticNet,3,0,20,89,940,310,0.547,0.338,0.257,0.125,0.018
ElasticNet,3,1,19,80,963,320,0.552,0.487,0.263,0.6,0.06
ElasticNet,3,2,19,80,961,317,0.585,0.369,0.292,0.0,0.0
ElasticNet,3,3,19,81,955,315,0.637,0.474,0.355,0.182,0.057
ElasticNet,3,4,19,81,965,318,0.545,0.483,0.29,0.167,0.023
ElasticNet,4,0,20,82,949,311,0.579,0.422,0.318,0.0,0.0
ElasticNet,4,1,19,86,952,316,0.576,0.36,0.294,0.1,0.026
ElasticNet,4,2,19,83,956,316,0.599,0.611,0.28,0.75,0.048
ElasticNet,4,3,19,83,956,315,0.554,0.373,0.257,0.167,0.024
ElasticNet,4,4,19,77,971,322,0.591,0.503,0.339,0.286,0.045
XGBoost,0,0,20,89,936,310,0.82,0.74,0.509,0.8,0.222
XGBoost,0,1,19,81,967,320,0.834,0.685,0.582,0.333,0.4
XGBoost,0,2,19,75,974,322,0.8,0.75,0.454,0.667,0.111
XGBoost,0,3,19,84,953,314,0.823,0.686,0.589,0.462,0.353
XGBoost,0,4,19,82,954,314,0.803,0.691,0.459,0.6,0.083
XGBoost,1,0,20,86,942,310,0.822,0.733,0.456,0.667,0.148
XGBoost,1,1,19,84,954,316,0.863,0.799,0.529,0.8,0.19
XGBoost,1,2,19,82,963,318,0.896,0.824,0.633,0.833,0.185
XGBoost,1,3,19,79,968,320,0.779,0.65,0.491,0.545,0.194
XGBoost,1,4,19,80,957,316,0.802,0.637,0.546,0.333,0.429
XGBoost,2,0,20,85,943,308,0.939,0.932,0.694,1.0,0.333
XGBoost,2,1,19,83,955,319,0.76,0.686,0.421,0.667,0.133
XGBoost,2,2,19,81,963,319,0.823,0.806,0.642,0.8,0.4
XGBoost,2,3,19,79,964,319,0.749,0.618,0.542,0.125,0.071
XGBoost,2,4,19,83,959,315,0.822,0.677,0.478,0.556,0.238
XGBoost,3,0,20,89,940,310,0.909,0.867,0.636,1.0,0.308
XGBoost,3,1,19,80,963,320,0.816,0.729,0.509,0.6,0.15
XGBoost,3,2,19,80,961,317,0.868,0.767,0.65,0.571,0.5
XGBoost,3,3,19,81,955,315,0.737,0.572,0.464,0.182,0.125
XGBoost,3,4,19,81,965,318,0.821,0.674,0.421,0.5,0.107
XGBoost,4,0,20,82,949,311,0.819,0.777,0.562,0.8,0.286
XGBoost,4,1,19,86,952,316,0.835,0.758,0.62,0.7,0.389
XGBoost,4,2,19,83,956,316,0.839,0.672,0.53,0.25,0.1
XGBoost,4,3,19,83,956,315,0.805,0.599,0.456,0.0,0.0
XGBoost,4,4,19,77,971,322,0.743,0.661,0.484,0.429,0.136
LightGBM,0,0,20,89,936,310,0.703,0.6,0.267,0.8,0.123
LightGBM,0,1,19,81,967,320,0.798,0.685,0.582,0.333,0.4
LightGBM,0,2,19,75,974,322,0.702,0.607,0.441,0.0,0.0
LightGBM,0,3,19,84,953,314,0.819,0.686,0.589,0.462,0.353
LightGBM,0,4,19,82,954,314,0.819,0.686,0.453,0.6,0.081
LightGBM,1,0,20,86,942,310,0.825,0.733,0.456,0.667,0.148
LightGBM,1,1,19,84,954,316,0.795,0.667,0.227,1.0,0.077
LightGBM,1,2,19,82,963,318,0.843,0.681,0.356,1.0,0.087
LightGBM,1,3,19,79,968,320,0.766,0.65,0.491,0.545,0.194
LightGBM,1,4,19,80,957,316,0.823,0.643,0.559,0.333,0.5
LightGBM,2,0,20,85,943,308,0.942,0.667,0.268,1.0,0.057
LightGBM,2,1,19,83,955,319,0.759,0.686,0.421,0.667,0.133
LightGBM,2,2,19,81,963,319,0.823,0.733,0.592,0.6,0.316
LightGBM,2,3,19,79,964,319,0.752,0.581,0.508,0.125,0.048
LightGBM,2,4,19,83,959,315,0.805,0.677,0.478,0.556,0.238
LightGBM,3,0,20,89,940,310,0.908,0.848,0.604,1.0,0.267
LightGBM,3,1,19,80,963,320,0.816,0.725,0.502,0.6,0.143
LightGBM,3,2,19,80,961,317,0.868,0.788,0.55,0.857,0.25
LightGBM,3,3,19,81,955,315,0.706,0.536,0.433,0.091,0.062
LightGBM,3,4,19,81,965,318,0.746,0.664,0.409,0.5,0.1
LightGBM,4,0,20,82,949,311,0.783,0.669,0.47,0.6,0.176
LightGBM,4,1,19,86,952,316,0.832,0.752,0.61,0.7,0.368
LightGBM,4,2,19,83,956,316,0.834,0.672,0.53,0.25,0.1
LightGBM,4,3,19,83,956,315,0.761,0.594,0.453,0.0,0.0
LightGBM,4,4,19,77,971,322,0.765,0.661,0.484,0.429,0.136
SVM,0,0,20,89,936,310,0.657,0.512,0.429,0.1,0.045
SVM,0,1,19,81,967,320,0.655,0.547,0.426,0.333,0.105
SVM,0,2,19,75,974,322,0.712,0.482,0.281,0.333,0.031
SVM,0,3,19,84,953,314,0.711,0.508,0.437,0.462,0.188
SVM,0,4,19,82,954,314,0.666,0.525,0.349,0.2,0.026
SVM,1,0,20,86,942,310,0.521,0.32,0.259,0.0,0.0
SVM,1,1,19,84,954,316,0.757,0.663,0.388,0.8,0.098
SVM,1,2,19,82,963,318,0.723,0.583,0.447,0.5,0.073
SVM,1,3,19,79,968,320,0.596,0.436,0.373,0.091,0.053
SVM,1,4,19,80,957,316,0.744,0.534,0.441,0.111,0.167
SVM,2,0,20,85,943,308,0.793,0.684,0.386,1.0,0.083
SVM,2,1,19,83,955,319,0.547,0.446,0.335,0.167,0.042
SVM,2,2,19,81,963,319,0.709,0.514,0.414,0.1,0.071
SVM,2,3,19,79,964,319,0.609,0.398,0.381,0.25,0.054
SVM,2,4,19,83,959,315,0.617,0.455,0.334,0.0,0.0
SVM,3,0,20,89,940,310,0.645,0.464,0.401,0.25,0.059
SVM,3,1,19,80,963,320,0.679,0.471,0.375,0.2,0.04
SVM,3,2,19,80,961,317,0.709,0.445,0.337,0.286,0.069
SVM,3,3,19,81,955,315,0.78,0.581,0.505,0.273,0.25
SVM,3,4,19,81,965,318,0.581,0.414,0.317,0.0,0.0
SVM,4,0,20,82,949,311,0.648,0.471,0.363,0.1,0.04
SVM,4,1,19,86,952,316,0.68,0.499,0.374,0.5,0.132
SVM,4,2,19,83,956,316,0.791,0.633,0.366,0.75,0.067
SVM,4,3,19,83,956,315,0.588,0.386,0.328,0.167,0.043
SVM,4,4,19,77,971,322,0.676,0.561,0.388,0.286,0.071
