feature,class,mean_abs_shap
prior_cesd,improving,1.0275908708572388
active_day_ratio_delta,improving,0.003484246786683798
mean_daily_overnight_ratio,improving,0.0449305959045887
mean_daily_overnight_ratio_delta,improving,0.04588612541556358
mean_daily_social_ratio,improving,0.017813298851251602
mean_daily_social_ratio_delta,improving,0.016471587121486664
age,improving,0.007921092212200165
mean_daily_screens,improving,0.016088010743260384
mean_daily_screens_delta,improving,0.006055659148842096
mean_daily_unique_apps,improving,0.011242525652050972
mean_daily_unique_apps_delta,improving,0.013625196181237698
mean_daily_switches,improving,0.016010070219635963
mean_daily_switches_delta,improving,0.0298343226313591
switches_per_screen,improving,0.02127939835190773
switches_per_screen_delta,improving,0.019293498247861862
mean_daily_social_screens,improving,0.0075654275715351105
mean_daily_social_screens_delta,improving,0.03399639576673508
clip_dispersion,improving,0.02326360158622265
clip_dispersion_delta,improving,0.023876607418060303
gender_mode_1,improving,0.0
gender_mode_2,improving,0.005907997954636812
lag_active_day_ratio_delta,improving,0.0003977949090767652
lag_mean_daily_overnight_ratio,improving,0.020987236872315407
lag_mean_daily_overnight_ratio_delta,improving,0.025087149813771248
lag_mean_daily_social_ratio,improving,0.008294942788779736
lag_mean_daily_social_ratio_delta,improving,0.018493318930268288
lag_mean_daily_screens,improving,0.011298107914626598
lag_mean_daily_screens_delta,improving,0.01017091702669859
lag_mean_daily_unique_apps,improving,0.025159521028399467
lag_mean_daily_unique_apps_delta,improving,0.021837253123521805
lag_mean_daily_switches,improving,0.005273623391985893
lag_mean_daily_switches_delta,improving,0.017493661493062973
lag_switches_per_screen,improving,0.0170383770018816
lag_switches_per_screen_delta,improving,0.024148667231202126
lag_mean_daily_social_screens,improving,0.011567476205527782
lag_mean_daily_social_screens_delta,improving,0.037864770740270615
lag_clip_dispersion,improving,0.010506701655685902
lag_clip_dispersion_delta,improving,0.03269515559077263
person_mean_cesd,improving,0.42087647318840027
prior_cesd,stable,0.25297513604164124
active_day_ratio_delta,stable,0.0037908481899648905
mean_daily_overnight_ratio,stable,0.021358158439397812
mean_daily_overnight_ratio_delta,stable,0.02126443199813366
mean_daily_social_ratio,stable,0.019091730937361717
mean_daily_social_ratio_delta,stable,0.027768893167376518
age,stable,0.05037250369787216
mean_daily_screens,stable,0.03193257749080658
mean_daily_screens_delta,stable,0.027782976627349854
mean_daily_unique_apps,stable,0.025667859241366386
mean_daily_unique_apps_delta,stable,0.02058873325586319
mean_daily_switches,stable,0.021835751831531525
mean_daily_switches_delta,stable,0.023860890418291092
switches_per_screen,stable,0.008806941099464893
switches_per_screen_delta,stable,0.05293368175625801
mean_daily_social_screens,stable,0.04308575391769409
mean_daily_social_screens_delta,stable,0.007120468188077211
clip_dispersion,stable,0.014490935951471329
clip_dispersion_delta,stable,0.031536929309368134
gender_mode_1,stable,0.024497661739587784
gender_mode_2,stable,0.005232253111898899
lag_active_day_ratio_delta,stable,0.01181213278323412
lag_mean_daily_overnight_ratio,stable,0.01944378949701786
lag_mean_daily_overnight_ratio_delta,stable,0.02657981961965561
lag_mean_daily_social_ratio,stable,0.025914069265127182
lag_mean_daily_social_ratio_delta,stable,0.013800201006233692
lag_mean_daily_screens,stable,0.015825113281607628
lag_mean_daily_screens_delta,stable,0.017080368474125862
lag_mean_daily_unique_apps,stable,0.056393884122371674
lag_mean_daily_unique_apps_delta,stable,0.011786269024014473
lag_mean_daily_switches,stable,0.0365891270339489
lag_mean_daily_switches_delta,stable,0.02431376650929451
lag_switches_per_screen,stable,0.0133114755153656
lag_switches_per_screen_delta,stable,0.027740327641367912
lag_mean_daily_social_screens,stable,0.010097961872816086
lag_mean_daily_social_screens_delta,stable,0.028261911123991013
lag_clip_dispersion,stable,0.03048594668507576
lag_clip_dispersion_delta,stable,0.03118954226374626
person_mean_cesd,stable,0.2999894618988037
prior_cesd,worsening,0.382723331451416
active_day_ratio_delta,worsening,0.0015117801958695054
mean_daily_overnight_ratio,worsening,0.052950773388147354
mean_daily_overnight_ratio_delta,worsening,0.0323508121073246
mean_daily_social_ratio,worsening,0.007367693819105625
mean_daily_social_ratio_delta,worsening,0.05806088075041771
age,worsening,0.022978810593485832
mean_daily_screens,worsening,0.0054828510619699955
mean_daily_screens_delta,worsening,0.030727285891771317
mean_daily_unique_apps,worsening,0.01458341907709837
mean_daily_unique_apps_delta,worsening,0.02043113112449646
mean_daily_switches,worsening,0.015579777769744396
mean_daily_switches_delta,worsening,0.015945374965667725
switches_per_screen,worsening,0.014373304322361946
switches_per_screen_delta,worsening,0.012777787633240223
mean_daily_social_screens,worsening,0.007125320844352245
mean_daily_social_screens_delta,worsening,0.06117823347449303
clip_dispersion,worsening,0.014879193156957626
clip_dispersion_delta,worsening,0.016885215416550636
gender_mode_1,worsening,0.0010652479249984026
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.005558321252465248
lag_mean_daily_overnight_ratio,worsening,0.022747768089175224
lag_mean_daily_overnight_ratio_delta,worsening,0.031157566234469414
lag_mean_daily_social_ratio,worsening,0.010931719094514847
lag_mean_daily_social_ratio_delta,worsening,0.0088546983897686
lag_mean_daily_screens,worsening,0.013591576367616653
lag_mean_daily_screens_delta,worsening,0.026237990707159042
lag_mean_daily_unique_apps,worsening,0.008938600309193134
lag_mean_daily_unique_apps_delta,worsening,0.025163328275084496
lag_mean_daily_switches,worsening,0.010248231701552868
lag_mean_daily_switches_delta,worsening,0.032519031316041946
lag_switches_per_screen,worsening,0.009510599076747894
lag_switches_per_screen_delta,worsening,0.028955668210983276
lag_mean_daily_social_screens,worsening,0.005399017594754696
lag_mean_daily_social_screens_delta,worsening,0.011771498247981071
lag_clip_dispersion,worsening,0.01493469625711441
lag_clip_dispersion_delta,worsening,0.029030727222561836
person_mean_cesd,worsening,0.47355619072914124
